@RELATION weather_clean_2hr_60

@ATTRIBUTE temp NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE dewpoint NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE light NUMERIC
@ATTRIBUTE rain {0,1}

@data
28.2,75.9,23.55,1008.44,930,0
32.5,58.5,23.31,1006.74,243,0
29.1,71.6,23.44,1007.13,212,0
27.2,85.6,24.57,1007.37,210,0
26.1,75.6,21.45,1005.65,213,0
27.9,81.3,24.4,1005.79,213,0
28.2,71,22.44,1009.06,213,0
34.2,56.3,24.26,1006.42,905,0
30.6,64.5,23.14,1008.15,241,0
25.9,74.1,20.93,1007.54,212,0
31.4,50.7,19.96,1006.25,863,0
30.2,58.3,21.11,1005.74,213,0
30.1,67.2,23.35,1008.22,243,0
49.8,21.6,22.03,1009.78,1019,0
27.4,79.3,23.5,1008.1,241,0
28,79.4,24.1,1009.62,738,0
27.4,75.1,22.6,1008.72,243,0
28.7,76.2,24.09,1008.61,939,0
31,51.9,19.96,1009.5,874,0
37.9,33.8,19.24,1004.11,922,0
33.5,57,23.82,1003.97,976,0
28.6,75.2,23.78,1009.32,877,0
32.5,57.9,23.14,1008.6,943,0
29.8,63.7,22.18,1007.95,213,0
30.9,64.5,23.43,1007.75,894,0
29.8,67,23.01,1005.27,820,0
27.4,84,24.46,1010.36,0,0
27.5,72.9,22.2,1008.22,212,0
31.9,54.3,21.53,1003.55,840,0
26.2,70,20.3,1008.25,212,0
32.2,59.9,23.43,1005.34,716,0
28.1,68.9,21.85,1007.26,213,0
28,84.1,25.06,1006.02,241,0
47.8,23.3,21.62,1006.8,980,0
29,79.1,25.01,1007.39,241,0
32,60.9,23.51,1008.67,874,0
33.4,54.8,23.07,1005.79,918,0
31.7,59.9,22.96,1008.5,784,0
32.4,59.1,23.39,1004.73,905,0
28.1,72.8,22.76,1008.74,241,0
28.8,70.8,22.97,1008.2,213,0
33.2,47.4,20.51,1004.8,898,0
32.8,51.7,21.56,1007.59,887,0
29.3,61.6,21.16,1006.11,537,0
28.8,76,24.15,1008.88,212,0
26.9,81.1,23.38,1008.43,226,0
30.9,67.1,24.08,1006,851,0
35.3,52,23.96,1005.17,970,0
33.8,56.9,24.07,1004.29,972,0
30.8,48.3,18.63,1009.46,866,0
40,43.1,25.09,1006.55,998,0
31.7,54.7,21.47,1005.56,664,0
34.4,53.7,23.66,1009.96,943,0
31.8,49.6,19.97,1006.5,879,0
28,80.4,24.31,1007.96,212,0
28.4,66.5,21.56,1005.96,213,0
35.2,41,19.97,1009.45,877,0
25.7,92.1,24.32,1008.43,0,0
30.4,64.5,22.95,1007.8,243,0
34,43.5,19.85,1006.61,892,0
32.6,52.3,21.56,1007.7,868,0
28.3,78.1,24.12,1009.85,779,0
29.4,68,22.88,1008.38,213,0
26.9,67.1,20.28,1008.55,213,0
28.2,76.6,23.7,1003.52,801,0
27.8,75.4,23.05,1008.46,243,0
24.8,87,22.49,1005.01,176,0
28.2,78.4,24.08,1008.31,212,0
27.4,81.9,24.03,1006.09,212,0
26.4,91.2,24.85,1008.11,217,0
27.8,75.5,23.07,1007.99,241,0
34.2,46.3,21.04,1008.25,876,0
26.4,69.6,20.39,1008.34,212,0
34.7,52.1,23.43,1010.65,920,0
36.5,37.9,19.85,1006.09,905,0
25.9,76,21.34,1007.54,241,0
30.6,57.4,21.23,1004.73,833,0
27.9,75.5,23.17,1008.47,243,0
32.5,60,23.73,1007.63,974,0
31.8,49.7,20,1007.97,861,0
30.6,57.4,21.23,1004.68,846,0
28.4,73,23.09,1008.91,241,0
28,71.7,22.41,1008.3,213,0
28.7,66.5,21.84,1005.98,213,0
33.4,51.7,22.11,1006.88,909,0
32.5,58.3,23.26,1006.4,243,0
31.5,51.2,20.21,1006.99,874,0
37.8,37.9,21,1006.59,924,0
32.7,56.6,22.95,1007.48,903,0
29.8,65.8,22.72,1010.57,243,0
28.8,76.4,24.23,1008.83,212,0
29.6,75.4,24.79,1008.39,243,0
27.3,70.3,21.42,1004.94,0,0
28.8,63.1,21.08,1005.73,213,0
27.6,82,24.25,1005.07,213,0
29.3,71.9,23.71,1009.71,243,0
26.9,66.6,20.16,1008.72,213,0
29.2,59.6,20.53,1007.76,213,0
26.8,71.8,21.28,1005.42,213,0
27.6,81.3,24.11,1005.7,212,0
29,76.4,24.43,1006.09,236,0
33.3,52.2,22.18,1005.73,864,0
27.5,71.9,21.98,1005.34,213,0
36.8,44,22.56,1006.34,928,0
26.7,81.2,23.21,1009.01,243,0
31.6,59,22.61,1008.94,243,0
27.2,72.9,21.92,1006.38,213,0
32.4,57,22.79,1005.42,887,0
38.9,31,18.72,1004.05,916,0
28.2,69.4,22.07,1005.31,213,0
26.8,81.8,23.43,1008.17,909,0
29.2,70.3,23.24,1007.74,213,0
27.6,76.8,23.16,1005.49,213,0
27.5,72.2,22.05,1005.72,373,0
27.8,91.4,26.27,1007.98,238,0
27.4,80.2,23.68,1009.05,747,0
31.7,54.9,21.52,1003.57,842,0
31.1,65,23.74,1005.7,911,0
31,65.7,23.83,1005.43,896,0
28.4,77.6,24.11,1007.81,239,0
29.1,76.5,24.55,1006.93,241,0
33.4,44.6,19.71,1007.68,903,0
34.3,51.7,22.94,1005.03,972,0
32,53.6,21.41,1003.64,840,0
29.6,76.7,25.07,1008.46,243,0
28.7,75.1,23.85,1007.35,212,0
34.1,56.2,24.14,1004.23,969,0
28,72.1,22.5,1008.44,213,0
25.8,74.1,20.84,1007.7,212,0
28,68.9,21.76,1004.94,213,0
30.3,56.7,20.75,1007.77,213,0
30.1,75.7,25.34,1010.43,907,0
27.4,76.4,22.88,1005.17,213,0
28.3,77.2,23.92,1003.35,799,0
28.7,74.1,23.63,1009.64,243,0
32.4,58.6,23.25,1005.7,753,0
29.8,63.1,22.03,1004.05,213,0
35.6,45.3,21.95,1005.28,918,0
27.7,72.5,22.31,1008.21,213,0
34.8,46.2,21.55,1005.81,864,0
26.9,81.3,23.42,1005.31,213,0
29.1,76.8,24.61,1006.18,747,0
26.5,89.4,24.61,1007.81,234,0
34.1,47.5,21.37,1004.77,863,0
37.1,41.4,21.82,1008.88,930,0
27.3,81.8,23.92,1005.47,213,0
32.5,56.5,22.74,1003.65,909,0
33.4,53.8,22.77,1009.81,935,0
24.4,92.1,23.03,1006.99,206,0
28.1,68.8,21.83,1007.28,213,0
35.9,42.8,21.29,1007.14,876,0
29.1,65.3,21.93,1008.71,213,0
26.8,87.7,24.59,1009.78,0,0
36.4,41.5,21.24,1008.86,1019,0
30.5,61.2,22.18,1009.88,243,0
41.9,37.2,24.31,1005.71,1009,0
50.5,22.2,23.06,1009.62,1017,0
28.4,79.7,24.55,1008.3,238,0
27.8,71.6,22.2,1007.73,245,0
34.1,44.4,20.27,1005.13,905,0
29.6,73.3,24.31,1007.18,243,0
33.6,45.9,20.35,1005.15,909,0
27.3,88.8,25.29,1005.17,241,0
32.2,59.7,23.37,1010.48,933,0
32.6,58.2,23.32,1009.47,967,0
30.7,56.2,20.98,1007.57,213,0
32.5,50.3,20.84,1003.69,848,0
31.8,54.1,21.38,1003.52,876,0
27.5,71.6,21.91,1005.61,213,0
30.8,61.8,22.63,1006.16,606,0
34.3,43.8,20.23,1005.08,907,0
27.6,71.3,21.94,1007.11,213,0
29.3,76.5,24.74,1008.69,243,0
37.7,39.8,21.71,1008.43,1015,0
26.4,76.8,22,1006.18,760,0
28.5,75,23.64,1006.91,212,0
47.6,21.3,20,1005.74,1019,0
26.4,90.4,24.7,1007.7,239,0
29.1,76.5,24.55,1006.15,280,0
26.5,90.6,24.84,1007.84,234,0
30,69.4,23.79,1005.4,208,0
31.3,51.3,20.05,1006.32,844,0
27.9,70.7,22.09,1004.77,213,0
28,78.7,23.95,1005.77,212,0
26.9,87.3,24.61,1009.93,243,0
34.7,52.9,23.69,1005.33,978,0
32.9,55,22.67,1005.61,954,0
