@RELATION weather2_clean60

@ATTRIBUTE temp NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE dewpoint NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE light NUMERIC
@ATTRIBUTE rain {0,1}

@data
30,62.1,21.95,1003.84,213,0
24.1,91.8,22.68,1008.27,202,1
27.4,81.1,23.87,1008.15,239,0
28.8,70.8,22.97,1008.2,213,0
27.8,84.2,24.89,1005.95,241,0
29.9,55.4,20,1009.77,866,0
28.2,69.4,22.07,1005.31,213,0
29.2,57.8,20.03,1009.72,863,0
26.1,86.8,23.73,1007.02,238,0
29.3,68.7,22.95,1010.93,243,0
33.3,45.2,19.83,1007.86,597,0
31.6,60.2,22.95,1005.27,753,0
34.1,48.4,21.67,1009.09,969,0
26.6,68.4,20.3,1008.29,213,0
33.3,46.5,20.29,1005.6,864,0
28.8,79.7,24.94,1007.54,241,0
30,68.7,23.62,1005.96,210,0
27.5,71.8,21.96,1009.02,213,0
32.1,49.1,20.08,1005.97,850,0
30.8,53,20.12,1004.89,213,0
30.4,64.1,22.85,1007.58,243,0
34.4,61.2,25.85,1009.24,969,0
33.3,57.6,23.8,1006.76,935,0
29,67,22.25,1009.7,241,0
28.7,68.8,22.4,1004.73,905,0
29.1,73.7,23.92,1010.24,243,0
26.8,87.9,24.63,1009.73,241,0
34.1,49.2,21.94,1006.33,887,0
29.5,62.9,21.69,1006.03,379,0
28.2,78.7,24.15,1007.32,212,0
32.6,49.5,20.67,1009.21,889,0
28,75.7,23.31,1008.89,243,0
29.6,76.7,25.07,1009.41,241,0
26.1,91.6,24.62,1008.32,239,0
34.3,51.7,22.94,1005.03,972,0
28.2,74.2,23.17,1008.49,241,0
27.8,75.5,23.07,1007.99,241,0
29.1,73.5,23.88,1010.32,243,0
26.1,68.4,19.83,1008.08,457,0
30.8,65,23.46,1004.14,809,0
26.5,90.1,24.74,1008.67,241,0
29.9,62.9,22.07,1010.35,243,0
28.1,75.3,23.32,1008.45,243,0
27.7,78.6,23.64,1008.28,241,0
26.7,64.3,19.4,1008.66,753,0
27.5,88.2,25.37,1005.3,241,0
31.7,50.8,20.26,1006.47,221,0
30.5,65.3,23.25,1007.17,243,0
33.2,56,23.24,1006.65,935,0
27.8,80.1,24.05,1009.09,241,0
30,70.3,24,1006.48,433,0
28.5,76.8,24.03,1008.9,212,0
32.8,57.2,23.22,1005.33,943,0
30,59.5,21.25,1004.87,613,0
34.9,46.5,21.74,1005.07,874,0
38.4,36.8,21.05,1006.8,920,0
32.4,54.7,22.11,1010.45,918,0
27.8,75.4,23.05,1008.38,243,0
27.5,74.9,22.65,1008.15,801,0
27.4,84,24.46,1010.46,243,0
28.5,80.2,24.75,1007.6,241,0
29.4,68.6,23.02,1007.83,212,0
27,86.6,24.57,1010.04,243,0
30.5,61.2,22.18,1010.14,243,0
28.2,83.3,25.1,1006.71,241,0
31.8,52,20.73,1004.46,844,0
32.9,53.5,22.21,1007.7,902,0
26.3,69.5,20.28,1008.29,212,0
32.3,64.5,24.75,1004.29,924,0
26.2,76.5,21.74,1005.96,411,0
31.5,52,20.46,1008.72,887,0
29.1,59.7,20.46,1007.7,213,0
34.5,55.8,24.39,1004.04,976,0
33.5,54.8,23.16,1004.51,939,0
29.7,70.8,23.83,1009.56,243,0
28.1,71.7,22.51,1008.3,213,0
29.9,73.1,24.56,1005.26,241,0
29.3,59.4,20.57,1006.12,213,0
36.2,41.4,21.02,1008.51,922,0
29.5,68.3,23.05,1007.76,213,0
26.3,90.6,24.64,1007.62,239,0
28.3,66.6,21.49,1006.03,213,0
27.6,80,23.84,1009.48,535,0
29,63.5,21.37,1006.66,213,0
33,54.9,22.73,1004.83,944,0
32.3,60.5,23.68,1004.76,967,0
26.7,88.2,24.58,1007.56,239,1
33.8,51.5,22.42,1010.59,840,0
24.6,89.9,22.83,1010.12,213,0
26.4,91.6,24.92,1008.07,208,0
36.3,44.8,22.4,1010.16,941,0
30.3,64.1,22.76,1007.84,243,0
27.9,70.5,22.04,1004.77,213,0
29.2,72.9,23.84,1005.76,238,0
28.4,67.7,21.85,1007.07,213,0
34.5,44.8,20.77,1007.29,825,0
37.9,33.8,19.24,1004.11,922,0
31.2,63.6,23.48,1005.09,872,0
29.3,71.7,23.66,1009.04,213,0
25.2,84.4,22.38,1005.04,176,0
30.4,68.2,23.88,1006.09,708,0
31.3,55,21.18,1006.62,213,0
28.4,76.8,23.93,1007.36,212,0
26.7,88.9,24.72,1008.78,202,1
32.6,57.6,23.15,1005.63,911,0
28.7,74.9,23.81,1007.38,212,0
27.9,70.7,22.09,1004.65,213,0
29.4,59.2,20.61,1006.94,213,0
32.7,57.2,23.13,1005.23,829,0
27.3,84,24.36,1010.44,241,0
30.1,72,24.5,1006.66,414,0
28.8,76.4,24.23,1008.87,212,0
27.8,81.6,24.36,1005.57,900,1
30.3,54.5,20.11,1009.44,903,0
28.3,63.5,20.71,1005.9,877,0
27.4,75.1,22.6,1008.72,243,0
30.3,69.7,24.15,1006.3,697,0
27.1,85.8,24.52,1010.94,243,0
